id,C1,C2
Trametes versicolor,Unknown,Unknown
Quambalaria pitereka,Unknown,Unknown
Malassezia sp.,Unknown,Unknown
Malassezia arunalokei,Unknown,Unknown
Malassezia sympodialis,Unknown,Unknown
(o)Malasseziales sp.,Unknown,Unknown
(p)Basidiomycota sp.,Unknown,Unknown
Naganishia sp.,Unknown,Unknown
Holtermanniella takashimae,Unknown,Unknown
(c)Tremellomycetes sp.,Unknown,Unknown
Vishniacozyma victoriae,Unknown,Unknown
