# Constructed from biom file
#OTU ID	NormalEar.1	NormalEar.2	NormalEar.4	NormalEar.5	NormalEar.6	NormalEar.7	NormalEar.8	NormalEar.9	NormalEar.10	NormalEar.11	NormalEar.12	NormalEar.13	NormalEar.14	NormalEar.15	NormalEar.16	NormalEar.17	NormalEar.19	NormalEar.21	NormalEar.22	NormalEar.26	NormalEar.27	NormalEar.28	NormalEar.29	NormalEar.30	NormalEar.31	NormalEar.32	NormalEar.33	NormalEar.34	NormalEar.36	NormalEar.37	NormalEar.38	NormalEar.39	NormalEar.40	NormalEar.42	NormalEar.45	NormalEar.46	NormalEar.47	NormalEar.48
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Teratosphaeria;s__Teratosphaeria_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165059347181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Celosporium;s__Celosporium_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0353906313457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidium_sp	0.0585416581705	0.0045867176302	0.0	0.00504812228722	0.0	0.00362665829343	0.0	0.0	0.00144956765069	0.00194879139714	0.00459310636946	0.0	0.000646886857001	0.00670047927039	0.0	0.0095590298988	0.0	0.055290609299	0.0	0.0	0.0	0.0	0.00336461838144	0.0	0.0	0.0	0.0281914651364	0.00932762290128	0.0	0.00511275188872	0.00088565763384	0.0177575942826	0.00797701410155	0.0	0.00106262867769	0.0065579696113	0.0418442166686	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema;s__Hormonema_viticola	0.0	0.0	0.0	0.0	0.0	0.00299866551535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00601414545624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00405337705515	0.0	0.0	0.000399880035989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__NA;s__Dothioraceae_sp	0.00157008278618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__NA;g__NA;s__Dothideales_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000781318916739	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Dothideomycetes_fam_Incertae_sedis;g__Halokirschsteiniothelia;s__Halokirschsteiniothelia_maritima	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00200391674637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis;s__Arthrographis_chlamydospora	0.0	0.0	0.0	0.0	0.0	0.00108328754219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis;s__Arthrographis_kalrae	0.0	0.00465838509317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__NA;f__NA;g__NA;s__Dothideomycetes_sp	0.0124790995473	0.0362040133779	0.0	0.0	0.00441913639961	0.00182117905644	0.00252409576606	0.00237337777104	0.00810497390778	0.0	0.0786784560809	0.0	0.00311003296635	0.00224512586664	0.0	0.0221558171402	0.0374246324964	0.1705712396	0.231354470119	0.0621718785665	0.0104855397971	0.0	0.0	0.0114509051015	0.0	0.0100144229461	0.0353418044359	0.0113507974461	0.00660203414025	0.0193227745962	0.015333773959	0.0163602753883	0.0164329010875	0.0	0.0124194726705	0.0144972438454	0.0390290094309	0.0612258293186
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__NA;f__NA;g__NA;s__Dothideomycetes_sp-Fungi_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00731479753685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054257862792	0.0	0.0	0.0	0.0	0.000995551522942	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__NA;f__NA;g__NA;s__NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000191945948021	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora	0.00146812935851	0.0031414237936	0.0	0.0	0.0	0.0	0.0	0.0	0.00311341921496	0.0	0.00369301636046	0.0	0.00738943832805	0.0	0.000642748626855	0.0	0.0	0.0	0.0	0.0208713763981	0.00439105637713	0.0	0.000668988450111	0.0	0.119765359844	0.0	0.0	0.0105099976353	0.0	0.000257065737422	0.00638466622604	0.0	0.0	0.0	0.0149830643554	0.0130255734996	0.000371095499507	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_sp	0.00346641654092	0.0	0.0	0.0	0.0	0.0201585681765	0.0	0.0	0.0	0.0	0.00223698840472	0.0	0.00390620140573	0.0	0.0059016010284	0.0	0.0	0.0300878383867	0.0	0.0	0.0	0.0184394904459	0.0	0.0	0.0	0.0	0.0	0.0185764208203	0.0	0.0	0.0	0.0	0.0	0.0	0.0142126585641	0.00963040419297	0.00295596759952	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_paspali	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00123528373711	0.0	0.0	0.0	0.0042794053617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Coniothyrium;s__Coniothyrium_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177990303513	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00648564074093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__NA;s__Leptosphaeriaceae_sp	0.0	0.000943621595796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00480744965427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Acrocalymma;s__Acrocalymma_cycadis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000500979186592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
