Organisms	Ampicillin	Ampicillin-Sulbactam	Clavamox|Amoxicillin	Piperacillin	Piperacillin-Tazobactam	Benzylpenicillin	Temocillin	Ticarcillin	Timentin	Amikacin	Arbekacin	Streptomycin	Gentamicin	Neomycin	Netilmicin	Kanamycin	Tetracycline|Doxycycline	Tigecycline	Daptomycin	Colistin	Nitrofurantoin	Cefotaxime|Cefpodxime|Cefovecin|Ceftiofur|Cefpodoxime	Ceftriaxone	Ceftazidime	Cefazolin|Cefalotin|Cefalexin|Cefadroxil	Cefoxitin	Cefepime	Cefuroxime	Ertapenem	Imipenem	Meropenem	Ciprofloxacin|Enrofloxacin|Marbofloxacin	Nalidixic acid	Chloramphenicol	Trimethoprim	Fosfomycin	Macrolides|Azithromycin|Erythromycin	Fusidic acid	Other Streptogramins	Quinupristin-Dalfopristin	Clindamycin	Vancomycin	Teicoplanin	Novobiocin	Sulfonamide	Rifampicin	Linezolid	Aztreonam
Buchnera aphidicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Klebsiella oxytoca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Kosakonia sacchari	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Tatumella ptyseos	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Sodalis glossinidius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Providencia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea allii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Salmonella enterica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Pantoea ananatis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
Budvicia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	R	R	R	R	R	R	NA	NA	R	R	NA
