id,C1,C2
(c)Deinococci sp.,2536,Infinity
(f)Paenibacillaceae sp.,740,Infinity
Salinicoccus kekensis,3200,Infinity
Staphylococcus delphini-intermedius-pseudintermedius,674,Infinity
Caulobacter sp.,763,Infinity
Agrobacterium fabrum-rubi,4050,Infinity
Sphingomonas phyllosphaerae,2163,Infinity
Erwinia aphidicola,880,Infinity
Pantoea allii,753,Infinity
Acinetobacter bereziniae,174,Infinity
Acinetobacter ursingii,713,Infinity
Psychrobacter pulmonis,6680,Infinity
Pseudomonas canadensis,1300,Infinity
Pseudomonas panacis-yamanorum,613,Infinity
Pseudomonas pertucinogena,5583,Infinity
Cladosporium dominicanum,0,Infinity
(f)Mycosphaerellaceae sp.,67,Infinity
Curvularia coicicola-inaequalis,0,Infinity
Talaromyces ramulosus,0,Infinity
(c)Saccharomycetes sp.,19,Infinity
Fusarium equiseti,158,Infinity
Chaetomium sp.,16,Infinity
Symmetrospora oryzicola,41,Infinity
Tilletiopsis sp.,114,Infinity
Cystofilobasidium macerans,115,Infinity
(f)Acidimicrobiaceae sp.,2106,Infinity
Flaviflexus sp.,2566,Infinity
(f)Actinomycetaceae sp.,1543,Infinity
Trueperella pyogenes,0,0
Corynebacterium afermentans-ihumii,676,Infinity
Corynebacterium flavum-glutamicum,466,Infinity
Dietzia schimae,4780,Infinity
Geodermatophilus poikilotrophus,1486,Infinity
Cellulomonas sp.,786,Infinity
Agrococcus sp.,1486,Infinity
Leucobacter alluvii-chromiiresistens,1756,Infinity
Microbacterium invictum,2926,Infinity
Microbacterium lacus-pumilum,1760,Infinity
Rathayibacter caricis,1680,Infinity
Citricoccus zhacaiensis,2700,Infinity
Glutamicibacter sp.,6136,Infinity
Kocuria atrinae,1933,Infinity
Kocuria indica,686,Infinity
Friedmanniella capsulata,2106,Infinity
(f)Solirubrobacteraceae sp.,2503,Infinity
Bacteroides eggerthii,2353,Infinity
Alloprevotella sp.,Unknown,Unknown
Alistipes obesi,2283,Infinity
Flavisolibacter sp.,716,Infinity
(o)Chitinophagales sp.,780,Infinity
Chryseobacterium halperniae,583,Infinity
(c)Chloroflexia sp.,2163,Infinity
Beta vulgaris,1793,Infinity
Alopecurus sp.,906,Infinity
Amphibacillus iburiensis,2076,Infinity
Gemella palaticanis,2563,Infinity
Exiguobacterium artemiae-sibiricum,971,Infinity
Exiguobacterium mexicanum,2556,Infinity
Sporosarcina luteola,1590,Infinity
Staphylococcus sp.,0,Infinity
Staphylococcus capitis,6293306,Infinity
Staphylococcus devriesei-hominis,3750,Infinity
Staphylococcus simulans,208,Infinity
Staphylococcus vitulinus,37440,Infinity
Lacticigenium sp.,3103,Infinity
Streptococcus cristatus,322,Infinity
Streptococcus salivarius,630,Infinity
Streptococcus thermophilus,253,Infinity
(c)Gemmatimonadetes sp.,1423,Infinity
(k)Bacteria sp.,2023,Infinity
(c)Planctomycetia sp.,1236,Infinity
Caulobacter flavus-segnis-vibrioides,2470,Infinity
Methylobacterium adhaesivum-goesingense,2570,Infinity
Methylobacterium radiotolerans,961,Infinity
Amaricoccus sp.,2700,Infinity
Skermanella sp.,5770,Infinity
Morus alba,2030,Infinity
Novosphingobium resinovorum,2316,Infinity
Sphingomonas taxi,7355,Infinity
(f)Comamonadaceae ebreus-polyhydroxybutyrativorans,393,Infinity
Comamonas sp.,2000,Infinity
(f)Comamonadaceae sp.,886,Infinity
(o)Myxococcales sp.,1646,Infinity
Aliidiomarina sp.,3156,Infinity
Erwinia persicina,997,Infinity
Serratia marcescens,17,Infinity
Actinobacillus minor,973,Infinity
Acinetobacter pittii,753,Infinity
Acinetobacter radioresistens,84,Infinity
(f)Pseudomonadaceae sp.,1993,Infinity
Pseudomonas capeferrum,506,Infinity
Pseudomonas gingeri,0,Infinity
Pseudomonas knackmussii,750,Infinity
Pseudomonas seleniipraecipitans,1413,Infinity
Stenotrophomonas rhizophila,1405,Infinity
Toxicocladosporium rubrigenum,6,Infinity
Phaeosphaeria sp.,36,Infinity
Torula herbarum,Unknown,Unknown
Aspergillus halophilicus,0,Infinity
(c)Eurotiomycetes sp.,13,Infinity
Chalara sp.,0,Infinity
Botrytis caroliniana-cinerea,39,Infinity
Cyberlindnera jadinii,0,Infinity
Hanseniaspora sp.,10,Infinity
(f)Chaetomiaceae sp.,5,Infinity
Malassezia sympodialis,28,Infinity
Filobasidium wieringae,0,Infinity
Bullera alba,93,Infinity
Ustilago avenae,18,Infinity
(p)*Melainabacteria sp.,926,Infinity
Klenkia sp.,786,Infinity
Modestobacter sp.,1556,Infinity
Serinibacter sp.,986,Infinity
Brachybacterium ginsengisoli,4313,Infinity
(f)Intrasporangiaceae sp.,750,Infinity
Agreia pratensis,0,Infinity
Curtobacterium oceanosedimentum,543,Infinity
(f)Micrococcaceae agilis-rosea,1486,Infinity
Kocuria sp.,2020,Infinity
Kocuria carniphila,61,613
Rothia mucilaginosa,2173,Infinity
Nakamurella sp.,1853,Infinity
Marmoricola pocheonensis,1560,Infinity
Nocardioides kribbensis,973,Infinity
Pseudonocardia sp.,1763,Infinity
(o)Coriobacteriales sp.,2530,Infinity
(o)Eggerthellales sp.,0,Infinity
(p)Actinobacteria sp.,1976,Infinity
Bacteroides thetaiotaomicron,0,Infinity
Bacteroides xylanisolvens,0,Infinity
Paraprevotella xylaniphila,2333,Infinity
Alistipes finegoldii,635,Infinity
Chryseobacterium artocarpi,1090,Infinity
Chryseobacterium indoltheticum,103,Infinity
Flavobacterium piscis,1316,Infinity
Pedobacter duraquae,1063,Infinity
Trifolium repens,2260,Infinity
Bacillus megaterium,617,Infinity
Gemella haemolysans,886,Infinity
Paenibacillus chinensis,1163,Infinity
Kurthia sp.,8653,Infinity
Jeotgalicoccus huakuii,53,Infinity
Salinicoccus halitifaciens,306,Infinity
Alkalibacterium iburiense,9440,Infinity
Enterococcus casseliflavus,206,Infinity
Enterococcus gallinarum-saccharolyticus,307,Infinity
Streptococcus oralis,0,Infinity
Clostridium perfringens,0,Infinity
(f)Eubacteriaceae sp.,4570,Infinity
(f)Family XIII sp.,2006,Infinity
Filifactor villosus,33,Infinity
Turicibacter sanguinis,2970,Infinity
Megamonas funiformis,613,Infinity
Fusobacterium canifelinum,0,0
(f)Leptotrichiaceae sp.,543,Infinity
(c)Phycisphaerae sp.,2463,Infinity
(o)Planctomycetales sp.,3110,Infinity
Brevundimonas basaltis,436,Infinity
Aureimonas sp.,Unknown,Unknown
Microvirga soli-zambiensis,1226,Infinity
Shinella zoogloeoides,1060,Infinity
(o)Rhodobacterales sp.,4043,Infinity
Falsirhodobacter sp.,1983,Infinity
Nitrospirillum sp.,1710,Infinity
(f)Mitochondria sp.,Unknown,Unknown
(f)Mitochondria batatas,296,Infinity
Altererythrobacter dongtanensis,5350,Infinity
Sphingomonas jaspsi,3096,Infinity
Alcaligenes faecalis,1023,Infinity
Paenalcaligenes hominis,2813,Infinity
Acidovorax defluvii-radicis,730,Infinity
Comamonas aquatica,3736,Infinity
Simplicispira sp.,0,Infinity
Janthinobacterium agaricidamnosum,2390,Infinity
Methylophilus sp.,256,Infinity
Aeromonas media,170,Infinity
