#query	genus	phylum	domain
Mycobacteroides chelonae	Mycobacteroides	Actinomycetota	Bacteria
Mycolicibacterium aubagnense	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium doricum	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium fortuitum	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium goodii	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium peregrinum	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium phlei	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium porcinum	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium smegmatis	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium thermoresistibile	Mycolicibacterium	Actinomycetota	Bacteria
Mycolicibacterium wolinskyi	Mycolicibacterium	Actinomycetota	Bacteria
Mycoplasma pulmonis			
Mycoplasma	Mycoplasma	Mycoplasmatota	Bacteria
Mycoplasma agassizii	Mycoplasmopsis	Mycoplasmatota	Bacteria
Mycoplasma arginini	Mycoplasmopsis	Mycoplasmatota	Bacteria
Mycoplasma bovigenitalium	Mycoplasmopsis	Mycoplasmatota	Bacteria
Mycoplasma canis			
Mycoplasma columbinum			
Mycoplasma cynos			
Mycoplasma edwardii	Mycoplasmopsis	Mycoplasmatota	Bacteria
Mycoplasma feliminutum	Mycoplasma	Mycoplasmatota	Bacteria
Mycoplasma felis			
Mycoplasma gallisepticum	Mycoplasmoides	Mycoplasmatota	Bacteria
Mycoplasma genitalium	Mycoplasmoides	Mycoplasmatota	Bacteria
Mycoplasma haemocanis	Mycoplasma	Mycoplasmatota	Bacteria
Mycoplasma haemofelis	Mycoplasma	Mycoplasmatota	Bacteria
Mycoplasma hominis			
Mycoplasma maculosum			
Mycoplasma molare			
Mycoplasma opalescens			
Mycoplasma pneumoniae			
Mycoplasma spumans			
Mycoplasma synoviae	Mycoplasmopsis	Mycoplasmatota	Bacteria
Neisseria	Neisseria	Pseudomonadota	Bacteria
Neisseria flavescens	Neisseria	Pseudomonadota	Bacteria
Neisseria gonorrhoeae	Neisseria	Pseudomonadota	Bacteria
Neisseria meningitidis	Neisseria	Pseudomonadota	Bacteria
Neisseria mucosa	Neisseria	Pseudomonadota	Bacteria
Neisseria shayeganii	Neisseria	Pseudomonadota	Bacteria
Neorickettsia helminthoeca	Neorickettsia	Pseudomonadota	Bacteria
Neorickettsia risticii	Neorickettsia	Pseudomonadota	Bacteria
Nicoletella	Nicoletella	Pseudomonadota	Bacteria
Nocardia	Nocardia	Actinomycetota	Bacteria
Nocardia abscessus	Nocardia	Actinomycetota	Bacteria
Nocardia brasiliensis	Nocardia	Actinomycetota	Bacteria
Nocardia cyriacigeorgicca			
Nocardia farcinica	Nocardia	Actinomycetota	Bacteria
