id,C1,C2
Neisseria macacae-mucosa,29590,Infinity
Psychrobacter sp.,14350,Infinity
Pseudomonas helleri,1360,Infinity
(c)Agaricomycetes sp.,3,Infinity
Malassezia pachydermatis,0,0
Malassezia sympodialis,34,Infinity
(o)Malasseziales sp.,36,Infinity
Actinomyces naeslundii,2926,Infinity
Bifidobacterium gallinarum-saeculare,4230,Infinity
Bifidobacterium pseudolongum,7145,Infinity
Corynebacterium fournierii-ureicelerivorans,1150,Infinity
Corynebacterium variabile,7828,Infinity
Dietzia schimae,9713,Infinity
Dietzia timorensis,30440,Infinity
Mycobacterium sp.,13916,Infinity
Brevibacterium linens,18217,Infinity
Microbacterium maritypicum-oxydans,2490,Infinity
Pseudoclavibacter sp.,1540,Infinity
Micrococcus sp.,Unknown,Unknown
Tessaracoccus flavus,20435,Infinity
Tessaracoccus rhinocerotis,6970,Infinity
Collinsella stercoris,10570,Infinity
(f)Rikenellaceae sp.,1090,Infinity
(c)Cytophagia sp.,4576,Infinity
Empedobacter falsenii,15076,Infinity
Ulvibacter sp.,55956,Infinity
Deinococcus swuensis,15893,Infinity
Staphylococcus nepalensis,8551,Infinity
Abiotrophia sp.,21200,Infinity
Atopostipes suicloacalis,5216,Infinity
Streptococcus canis,166,Infinity
Streptococcus minor,1193,Infinity
Streptococcus thermophilus,5045,Infinity
Clostridium disporicum,7963,Infinity
Clostridium ventriculi,11306,Infinity
Fusibacter sp.,Unknown,Unknown
Blautia luti,5796,Infinity
Peptostreptococcus sp.,2796,Infinity
Romboutsia ilealis,5093,Infinity
Peptoniphilus rhinitidis,144,Infinity
(f)Leptotrichiaceae sp.,2503,Infinity
(o)Planctomycetales sp.,2463,Infinity
Brevundimonas bullata-diminuta-terrae,8033,Infinity
Phyllobacterium myrsinacearum,4393,Infinity
Paracoccus kocurii,16306,Infinity
Pontibaca sp.,13156,Infinity
Pseudomonas canadensis,3510,Infinity
Pseudomonas poae,814,Infinity
Penicillium decumbens,105,Infinity
Filobasidium globisporum,154,Infinity
Bifidobacterium adolescentis,2205,Infinity
Corynebacterium canis,3630,Infinity
Corynebacterium maris,2135,Infinity
Corynebacterium segmentosum,4283,Infinity
Corynebacterium xerosis,10726,Infinity
(o)Corynebacteriales sp.,181,Infinity
(f)Cryptosporangiaceae sp.,2120,Infinity
Modestobacter marinus-roseus,4350,Infinity
(o)Geodermatophilales sp.,5443,Infinity
Georgenia ferrireducens,6466,Infinity
Arthrobacter agilis,6750,Infinity
Citricoccus zhacaiensis,4056,Infinity
Enteractinococcus coprophilus,4173,Infinity
(o)Euzebyales sp.,1916,Infinity
(p)Armatimonadetes sp.,3143,Infinity
(o)Chitinophagales sp.,4056,Infinity
Chryseobacterium hominis,1913,Infinity
Deinococcus sp.,2136,Infinity
(c)Deinococci sp.,4020,Infinity
Planococcus donghaensis-halocryophilus,1693,Infinity
Planomicrobium glaciei,12033,Infinity
Staphylococcus auricularis,10870,Infinity
Staphylococcus capitis,7045,Infinity
Staphylococcus sciuri,3295,Infinity
Facklamia sp.,4046,Infinity
(f)Aerococcaceae sp.,2423,Infinity
Atopostipes sp.,Unknown,Unknown
Lactobacillus acidophilus,4825,Infinity
Lachnoclostridium sp.,Unknown,Unknown
Filifactor sp.,959,Infinity
Romboutsia sp.,2840,Infinity
Faecalibacterium sp.,2196,Infinity
Anaerococcus provencensis,201,Infinity
Fusobacterium nucleatum,1735,Infinity
