id,C1,C2
Cutibacterium humerusii,Unknown,Unknown
Microlunatus sp.,Unknown,Unknown
(f)Propionibacteriaceae sp.,Unknown,Unknown
Pseudopropionibacterium propionicum,Unknown,Unknown
Pseudonocardia antarctica-carboxydivorans,Unknown,Unknown
Streptomyces griseoaurantiacus,Unknown,Unknown
Atopobium parvulum,Unknown,Unknown
Eggerthella lenta,Unknown,Unknown
(o)Solirubrobacterales sp.,Unknown,Unknown
(f)Solirubrobacteraceae sp.,Unknown,Unknown
(p)Armatimonadetes sp.,Unknown,Unknown
Bacteroides intestinalis,Unknown,Unknown
Bacteroides ovatus,Unknown,Unknown
Bacteroides uniformis,Unknown,Unknown
Odoribacter laneus,Unknown,Unknown
Alloprevotella sp.,0,0
Prevotella melaninogenica,Unknown,Unknown
Alistipes sp.,Unknown,Unknown
Parabacteroides faecis,0,0
(o)Chitinophagales sp.,Unknown,Unknown
(c)Chitinophagia sp.,Unknown,Unknown
Fibrella aestuarina,Unknown,Unknown
(f)Cytophagaceae sp.,Unknown,Unknown
Spirosoma sp.,Unknown,Unknown
Chryseobacterium scophthalmum,Unknown,Unknown
Empedobacter brevis,Unknown,Unknown
Flavobacterium sp.,Unknown,Unknown
Flavobacterium album,Unknown,Unknown
Flavobacterium frigidimaris,Unknown,Unknown
(f)Sphingobacteriaceae sp.,Unknown,Unknown
(p)Chloroflexi sp.,Unknown,Unknown
Beta vulgaris,Unknown,Unknown
Cucumis hystrix,Unknown,Unknown
Musa textilis,Unknown,Unknown
(c)Chloroplast sp.,Unknown,Unknown
(f)Populus euphratica euphratica-x,Unknown,Unknown
Chroococcidiopsis sp.,Unknown,Unknown
Deinococcus antarcticus,Unknown,Unknown
Deinococcus ficus,Unknown,Unknown
Deinococcus radiophilus,Unknown,Unknown
(c)Deinococci sp.,Unknown,Unknown
Bacillus anthracis-cereus-thuringiensis,Unknown,Unknown
Exiguobacterium acetylicum,Unknown,Unknown
(f)Paenibacillaceae sp.,Unknown,Unknown
(f)Staphylococcaceae sp.,Unknown,Unknown
Staphylococcus capitis-caprae,Unknown,Unknown
Staphylococcus lentus,0,0
Staphylococcus lugdunensis,0,0
Staphylococcus xylosus,Unknown,Unknown
Abiotrophia defectiva,Unknown,Unknown
Carnobacterium inhibens,Unknown,Unknown
Desemzia incerta,0,0
Enterococcus avium-gilvus,Unknown,Unknown
Enterococcus durans-faecium,Unknown,Unknown
Enterococcus pallens,0,0
Enterococcus thailandicus,Unknown,Unknown
Lactobacillus salivarius,Unknown,Unknown
Leuconostoc gelidum,Unknown,Unknown
Leuconostoc mesenteroides,Unknown,Unknown
Lactococcus formosensis-garvieae,Unknown,Unknown
Lactococcus lactis,Unknown,Unknown
Streptococcus anginosus,Unknown,Unknown
Streptococcus cristatus,Unknown,Unknown
Streptococcus mitis,Unknown,Unknown
Streptococcus salivarius,Unknown,Unknown
Streptococcus sanguinis-viridans,Unknown,Unknown
Clostridium baratii,Unknown,Unknown
Clostridium saccharobutylicum,Unknown,Unknown
Clostridium saccharoperbutylacetonicum,Unknown,Unknown
(f)Eubacteriaceae sp.,Unknown,Unknown
(f)Hungateiclostridiaceae sp.,Unknown,Unknown
Anaerobutyricum hallii,Unknown,Unknown
Blautia luti,Unknown,Unknown
Dorea sp.,Unknown,Unknown
Eisenbergiella tayi,Unknown,Unknown
Fusicatenibacter saccharivorans,Unknown,Unknown
Lachnoanaerobaculum orale,Unknown,Unknown
Marvinbryantia sp.,0,0
Shuttleworthia sp.,Unknown,Unknown
Intestinimonas sp.,Unknown,Unknown
(o)Clostridiales bacterium,0,0
(f)Oscillospiraceae sp.,Unknown,Unknown
Clostridioides mangenotii,0,0
Peptoclostridium sp.,Unknown,Unknown
Anaerotruncus sp.,Unknown,Unknown
Hydrogenoanaerobacterium sp.,Unknown,Unknown
Erysipelatoclostridium sp.,Unknown,Unknown
(p)Firmicutes sp.,Unknown,Unknown
Selenomonas noxia,Unknown,Unknown
Veillonella dispar,Unknown,Unknown
Veillonella rogosae,Unknown,Unknown
Gottschalkia acidurici,Unknown,Unknown
(o)Tissierellales sp.,Unknown,Unknown
Anaerococcus prevotii,Unknown,Unknown
(f)Peptoniphilaceae sp.,Unknown,Unknown
Fusobacterium ulcerans,0,0
Fusobacterium ulcerans-varium,Unknown,Unknown
(f)Gemmatimonadaceae sp.,Unknown,Unknown
(f)Victivallaceae sp.,Unknown,Unknown
Victivallis sp.,Unknown,Unknown
(c)Phycisphaerae sp.,Unknown,Unknown
Brevundimonas aurantiaca,Unknown,Unknown
Brevundimonas naejangsanensis-olei,Unknown,Unknown
Phenylobacterium kunshanense,Unknown,Unknown
Bosea massiliensis,Unknown,Unknown
Bosea robiniae-vestrisii,Unknown,Unknown
Methylobacterium oxalidis,Unknown,Unknown
Methylobacterium pseudosasicola,Unknown,Unknown
Methylobacterium tarhaniae-variabile,Unknown,Unknown
Rhizobium rhizoryzae,Unknown,Unknown
Paracoccus sp.,Unknown,Unknown
Paracoccus aestuarii-tibetensis,Unknown,Unknown
Paracoccus marinus,Unknown,Unknown
Tabrizicola sp.,Unknown,Unknown
Acidiphilium sp.,Unknown,Unknown
Gluconacetobacter liquefaciens-sacchari,Unknown,Unknown
Azospirillum humicireducens-oryzae-zeae,Unknown,Unknown
(f)Mitochondria aestivum,Unknown,Unknown
(f)Sphingomonadaceae sp.,0,0
Novosphingobium indicum,Unknown,Unknown
Sphingomonas koreensis,Unknown,Unknown
Sphingomonas rhizogenes,Unknown,Unknown
Burkholderia ambifaria-stabilis,Unknown,Unknown
Lautropia mirabilis,Unknown,Unknown
Paraburkholderia fungorum,Unknown,Unknown
Comamonas sp.,Unknown,Unknown
Comamonas aquatica,Unknown,Unknown
Delftia acidovorans,0,0
Hydrogenophaga palleronii,0,0
Variovorax ginsengisoli,Unknown,Unknown
Variovorax soli,Unknown,Unknown
Aquabacterium parvum,Unknown,Unknown
Leptothrix ginsengisoli,0,0
(o)Burkholderiales sp.,Unknown,Unknown
Janthinobacterium agaricidamnosum,Unknown,Unknown
Janthinobacterium agaricidamnosum-lividum,Unknown,Unknown
Janthinobacterium svalbardensis,Unknown,Unknown
Massilia timonae,Unknown,Unknown
Sutterella wadsworthensis,Unknown,Unknown
Neisseria subflava,Unknown,Unknown
Methyloversatilis discipulorum,Unknown,Unknown
Desulfovibrio sp.,Unknown,Unknown
Arcobacter sp.,Unknown,Unknown
Arcobacter suis,Unknown,Unknown
Leclercia adecarboxylata,Unknown,Unknown
Lelliottia amnigena,Unknown,Unknown
Erwinia rhapontici,Unknown,Unknown
Pantoea agglomerans-conspicua-vagans,Unknown,Unknown
Pantoea ananatis,Unknown,Unknown
Pantoea eucrina,Unknown,Unknown
Phytobacter ursingii,0,0
Methylosarcina sp.,Unknown,Unknown
(f)Pasteurellaceae sp.,Unknown,Unknown
